Date,Open,High,Low,Close
31-03-2016,15.289333,15.828,15.000667,15.318
01-04-2016,16.322001,16.526667,15.55,15.839333
04-04-2016,16.608,16.808001,16.242666,16.466
05-04-2016,16.033333,17.104,16,17.031334
06-04-2016,16.931334,17.849333,16.896667,17.694668
07-04-2016,17.763332,17.955999,16.967333,17.146667
08-04-2016,17.366667,17.388,16.534666,16.671333
11-04-2016,16.733334,17.266001,16.353333,16.661333
12-04-2016,16.633333,16.786667,16.242001,16.521334
13-04-2016,16.567333,17.033333,16.488667,16.968666
14-04-2016,16.866667,17.122667,16.736668,16.790667
15-04-2016,16.754,16.973333,16.608,16.967333
18-04-2016,16.815332,17.220667,16.777332,16.925333
19-04-2016,16.874666,16.958,16.083332,16.491333
20-04-2016,16.417334,16.910667,16.1,16.664667
21-04-2016,16.599333,16.726667,16.460667,16.552668
22-04-2016,16.592667,16.933332,16.380667,16.916668
25-04-2016,16.867332,17.158667,16.717333,16.788
26-04-2016,16.803333,17.048668,16.625999,16.916
27-04-2016,16.85,17,16.626667,16.764668
28-04-2016,16.656668,16.895332,16.496,16.514
29-04-2016,16.542667,16.562,15.854,16.050667
02-05-2016,16.1,16.212667,15.654667,16.120001
03-05-2016,15.824,15.927333,15.441333,15.488
04-05-2016,15.352667,15.630667,14.693333,14.837333
05-05-2016,15.230667,15.242667,13.986,14.102
06-05-2016,14.058,14.424667,13.874,14.328667
09-05-2016,14.381333,14.41,13.786667,13.928
10-05-2016,13.836667,13.964667,13.666667,13.912667
11-05-2016,13.839333,14.365333,13.736667,13.930667
12-05-2016,14.096,14.111333,13.577333,13.818667
13-05-2016,13.852,14.08,13.78,13.840667
16-05-2016,13.876667,14.21,13.861333,13.886
17-05-2016,13.936667,13.988,13.601333,13.644
18-05-2016,13.943333,14.354,13.85,14.078
19-05-2016,14.241333,14.452667,13.82,14.347333
20-05-2016,14.466,14.703333,14.423333,14.685333
23-05-2016,14.658,14.84,14.390667,14.414667
24-05-2016,14.44,14.582667,14.345333,14.527333
25-05-2016,14.527333,14.757333,14.434,14.638667
26-05-2016,14.7,15.017333,14.603333,15.008
27-05-2016,14.999333,15.062,14.716667,14.869333
31-05-2016,14.869333,14.983333,14.766667,14.882
01-06-2016,14.765333,14.826667,14.459333,14.637333
02-06-2016,14.639333,14.660667,14.474,14.597333
03-06-2016,14.666667,14.796,14.534,14.599333
06-06-2016,14.533333,14.726667,14.363333,14.712
07-06-2016,14.816,15.629333,14.768,15.489333
08-06-2016,15.586667,16.056667,15.507333,15.701333
09-06-2016,15.665333,15.688667,15.137333,15.290667
10-06-2016,15.159333,15.198,14.561333,14.586
13-06-2016,14.633333,15.051333,14.510667,14.524667
14-06-2016,14.592,14.813333,14.168667,14.330667
15-06-2016,14.463333,14.793333,14.342,14.513333
16-06-2016,14.494667,14.536,14.233333,14.528667
17-06-2016,14.520667,14.666,14.3,14.364667
20-06-2016,14.633333,14.916667,14.548667,14.646667
21-06-2016,14.712,14.838,14.587333,14.640667
22-06-2016,13.298,13.73,13.05,13.110667
23-06-2016,13.046,13.17,12.808667,13.093333
24-06-2016,12.67,13.008,12.648667,12.876667
27-06-2016,12.724,13.254,12.524667,13.236667
28-06-2016,13.459333,13.603333,13.294,13.452667
29-06-2016,13.675333,14.118667,13.533333,14.012667
30-06-2016,14.198,14.233333,13.934667,14.152
01-07-2016,13.742667,14.549333,13.733333,14.433333
05-07-2016,13.982,14.302667,13.866667,14.265333
06-07-2016,14,14.348667,13.933333,14.296
07-07-2016,14.206667,14.541333,14.200667,14.396
08-07-2016,14.52,14.654,14.3,14.452
11-07-2016,14.664,15.118667,14.634,14.985333
12-07-2016,14.94,15.166667,14.881333,14.976667
13-07-2016,15.033333,15.039333,14.686,14.835333
14-07-2016,14.874667,14.996,14.736667,14.768667
15-07-2016,14.834667,14.85,14.642667,14.693333
18-07-2016,14.642667,15.139333,14.553333,15.083333
19-07-2016,15,15.273333,14.983333,15.017333
20-07-2016,15.098,15.32,15,15.224
21-07-2016,15.066667,15.19,14.606667,14.7
22-07-2016,14.799333,14.966667,14.592,14.818
25-07-2016,14.818,15.426,14.758,15.334
26-07-2016,15.179333,15.333333,15.02,15.300667
27-07-2016,15.289333,15.557333,15.128,15.232667
28-07-2016,15.196667,15.384,15.106667,15.374
29-07-2016,15.38,15.685333,15.349333,15.652667
01-08-2016,15.7,15.775333,15.292,15.334
02-08-2016,15.291333,15.324667,14.76,15.146667
03-08-2016,15.158,15.313333,14.947333,15.052667
04-08-2016,15.046,15.390667,14.803333,15.374
05-08-2016,15.333333,15.466667,15.16,15.335333
08-08-2016,15.2,15.306667,15.072667,15.077333
09-08-2016,15.121333,15.436,15.11,15.272
10-08-2016,15.216,15.324667,14.974667,15.043333
11-08-2016,15.078,15.171333,14.894,14.994
12-08-2016,15.027333,15.11,14.936,15.040667
15-08-2016,15.068,15.3,14.995333,15.039333
16-08-2016,15.032667,15.146,14.894,14.907333
17-08-2016,14.955333,14.988667,14.853333,14.882667
18-08-2016,14.921333,15.044,14.819333,14.900667
19-08-2016,14.902667,15.011333,14.835333,15
22-08-2016,14.944667,15.007333,14.845333,14.862
23-08-2016,14.954667,15.232667,14.853333,14.989333
24-08-2016,15.136667,15.143333,14.814667,14.841333
25-08-2016,14.874,14.92,14.718,14.730667
26-08-2016,14.809333,14.857333,14.588,14.666
29-08-2016,14.676667,14.693333,14.333333,14.346667
30-08-2016,14.407333,14.407333,14.034667,14.089333
31-08-2016,14.028667,14.173333,13.91,14.134
01-09-2016,13.934,14.073333,13.366667,13.384667
02-09-2016,13.488667,13.546667,13.08,13.185333
06-09-2016,13.268,13.55,13.266667,13.522
07-09-2016,13.7,13.766667,13.380667,13.447333
08-09-2016,13.303333,13.326,13.090667,13.157333
09-09-2016,13.272667,13.328,12.913333,12.964667
12-09-2016,13,13.424667,12.94,13.22
13-09-2016,13.137333,13.232667,12.896667,13.07
14-09-2016,13.05,13.194667,12.990667,13.094
15-09-2016,13.099333,13.501333,13.093333,13.361333
16-09-2016,13.361333,13.713333,13.266667,13.693333
19-09-2016,13.8,13.962,13.666667,13.756
